FID,OBJECTID,MM2_DATO_I,MM2_FECHA_,MM2_DIRECC,MM2_BARRIO,MM2_RURAL,MM2_Long,MM2_Lat,MM2_NOMBRE,MM2_CODIGO,cruce_dato,Elevacion,Pendiente,COD_COB25_,NOM_COB25,SIM_COB25,Id_Riesgo,categ_Ries,GEOLOGIA_1,GEOLOGIA_2,DATO_ID,FUENTE,SOLICITUD,FECHA EVENTO,FECHA EVENTO,DIRECCION,BARRIO_VER,RURAL,Long,Lat,ESTACIÓN,CATEGORIA,ENTIDAD,FECHA_INIC,CODIGO,X,Y,P_24H,P_3DIAS,P_7DIAS,P_10DIAS,P15DIAS,P30DIAS,P60DIAS,P90DIAS
134,135,MM0251,3/22/2021,K 46 Oeste # 20B - 14,Siloe - La Sultanita, ,-76.564124,3.423916,LOS CRISTALES,2622330105,MM0251,1135.829224,48.38480759,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0251,BD_SGRED,Operativo,3/22/2021 0:00,3/22/2021LOS CRISTALES,K 46 Oeste # 20B - 14,Siloe - La Sultanita, ,-76564124,3423916,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,14,148,197,210,366,583,746,908
135,136,MM0252,3/22/2021,K 46 # 20c - 02 Oeste,Siloe - La Sultana, ,-76.5643,3.4237,LOS CRISTALES,2622330105,MM0252,1124.440186,76.45881653,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0252,BD_SGRED,Operativo,3/22/2021 0:00,3/22/2021LOS CRISTALES,K 46 # 20c - 02 Oeste,Siloe - La Sultana, ,-765643,853633,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,14,148,197,210,366,583,746,908
136,137,MM0253,3/22/2021,K 46 Bis # 20B - 10,Siloe - La Sultanita, ,-76.563998,3.423804,LOS CRISTALES,2622330105,MM0253,1129.608521,23.7950592,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0253,BD_SGRED,Operativo,3/22/2021 0:00,3/22/2021LOS CRISTALES,K 46 Bis # 20B - 10,Siloe - La Sultanita, ,-76563998,3423804,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,14,148,197,210,366,583,746,908
137,138,MM0255,3/22/2021,K 46 # 20B -10,Siloe - La Sultanita, ,-76.563916,3.423876,LOS CRISTALES,2622330105,MM0255,1130.067871,40.12782669,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0255,BD_SGRED,Operativo,3/22/2021 0:00,3/22/2021LOS CRISTALES,K 46 # 20B -10,Siloe - La Sultanita, ,-76563916,3423876,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,14,148,197,210,366,583,746,908
138,139,MM0257,3/22/2021,K 46 # 22 - 16,Siloe - La Sultana, ,-76.56561,3.42286,LOS CRISTALES,2622330105,MM0257,1121.603394,24.34382629,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0257,BD_SGRED,Operativo,3/22/2021 0:00,3/22/2021LOS CRISTALES,K 46 # 22 - 16,Siloe - La Sultana, ,-7656561,342286,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,14,148,197,210,366,583,746,908
139,140,MM0258,3/22/2021,C 7 Oeste 40B-12,San Francisco- Siloe, ,-76.5564,3.428493,LOS CRISTALES,2622330105,MM0258,1076.811646,17.26451111,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0258,BD_SGRED,Operativo,3/22/2021 0:00,3/22/2021LOS CRISTALES,C 7 Oeste 40B-12,San Francisco- Siloe, ,-765564,3428493,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,14,148,197,210,366,583,746,908
140,141,MM0259,3/23/2021,Carrera 50 Oeste # 6B-61,Sector Los Pomos - Siloe, ,-76.557233,3.417652,IDEAS,2622330111,MM0259,988.3206787,30.53203964,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0259,BD_SGRED,OPERATIVO,3/23/2021 0:00,3/23/2021CAÑAVERALEJO-EDIFICIO CVC,Carrera 50 Oeste # 6B-61,Sector Los Pomos - Siloe, ,-76557233,3417652,CAÑAVERALEJO-EDIFICIO CVC,PG,DAGMA,8/13/2015,2622330111,1056528,868783,1.2,43,100.8,113,205,315.2,386.6,530
141,142,MM0260,3/23/2021,Calle 6 C Oeste # 50-19,Sector Los Pomos - Siloe, ,-76.5573,3.419184,LOS CRISTALES,2622330105,MM0260,1027.704834,60.61834717,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0260,BD_SGRED,OPERATIVO,3/23/2021 0:00,3/23/2021LOS CRISTALES,Calle 6 C Oeste # 50-19,Sector Los Pomos - Siloe, ,-765573,3419184,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
142,143,MM0261,3/23/2021,Calle 6B Oeste # 50-48,Sector Los Pomos - Siloe, ,-76.556767,3.418631,LOS CRISTALES,2622330105,MM0261,1002.699341,34.96457291,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0261,BD_SGRED,OPERATIVO,3/23/2021 0:00,3/23/2021LOS CRISTALES,Calle 6B Oeste # 50-48,Sector Los Pomos - Siloe, ,-76556767,3418631,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
143,144,MM0262,3/23/2021,Calle 6B Oeste # 50-30,Sector Los Pomos - Siloe, ,-76.557106,3.418991,LOS CRISTALES,2622330105,MM0262,1011.954834,39.04415894,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0262,BD_SGRED,OPERATIVO,3/23/2021 0:00,3/23/2021LOS CRISTALES,Calle 6B Oeste # 50-30,Sector Los Pomos - Siloe, ,-76557106,3418991,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
144,145,MM0263,3/23/2021,Calle 6B Oeste # 50-40,Sector Los Pomos - Siloe, ,-76.557377,3.418881,LOS CRISTALES,2622330105,MM0263,1021.169434,62.76224518,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0263,BD_SGRED,OPERATIVO,3/23/2021 0:00,3/23/2021LOS CRISTALES,Calle 6B Oeste # 50-40,Sector Los Pomos - Siloe, ,-76557377,3418881,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
145,146,MM0264,3/23/2021,Carrera 51 Oeste # 6A-45,Tierra Blanca, ,-76.557632,3.418244,IDEAS,2622330111,MM0264,1006.680603,53.83190155,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0264,BD_SGRED,OPERATIVO,3/23/2021 0:00,3/23/2021CAÑAVERALEJO-EDIFICIO CVC,Carrera 51 Oeste # 6A-45,Tierra Blanca, ,-76557632,3418244,CAÑAVERALEJO-EDIFICIO CVC,PG,DAGMA,8/13/2015,2622330111,1056528,868783,1.2,43,100.8,113,205,315.2,386.6,530
146,147,MM0265,3/23/2021,Carrera 51 6B bis # 10 Oeste,Sector Los Pomos - Siloe, ,76.556028,3.416647,IDEAS,2622330111,MM0265,979.6134033,5.064775467,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Qca(RMel),Cono aluvial rio Melendez,MM0265,BD_SGRED,OPERATIVO,3/23/2021 0:00,3/23/2021CAÑAVERALEJO-EDIFICIO CVC,Carrera 51 6B bis # 10 Oeste,Sector Los Pomos - Siloe, ,76556028,3416647,CAÑAVERALEJO-EDIFICIO CVC,PG,DAGMA,8/13/2015,2622330111,1056528,868783,1.2,43,100.8,113,205,315.2,386.6,530
147,148,MM0266,3/23/2021,Carrera 51 # 6b Bis -35 Oeste,Sector Los Pomos - Siloe, ,-76.557975,3.418447,IDEAS,2622330111,MM0266,1030.654663,66.0162735,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0266,BD_SGRED,OPERATIVO,3/23/2021 0:00,3/23/2021CAÑAVERALEJO-EDIFICIO CVC,Carrera 51 # 6b Bis -35 Oeste,Sector Los Pomos - Siloe, ,-76557975,3418447,CAÑAVERALEJO-EDIFICIO CVC,PG,DAGMA,8/13/2015,2622330111,1056528,868783,1.2,43,100.8,113,205,315.2,386.6,530
148,149,MM0267,3/23/2021,Carrera 51 # 6b Bis -31 Oeste,Sector Los Pomos - Siloe, ,-76.557938,3.418435,IDEAS,2622330111,MM0267,1027.893188,64.39844513,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0267,BD_SGRED,OPERATIVO,3/23/2021 0:00,3/23/2021CAÑAVERALEJO-EDIFICIO CVC,Carrera 51 # 6b Bis -31 Oeste,Sector Los Pomos - Siloe, ,-76557938,3418435,CAÑAVERALEJO-EDIFICIO CVC,PG,DAGMA,8/13/2015,2622330111,1056528,868783,1.2,43,100.8,113,205,315.2,386.6,530
149,150,MM0268,3/23/2021,Calle 6 Oeste bis # 51-02,Sector Los Pomos - Siloe, ,-76.557814,3.418393,IDEAS,2622330111,MM0268,1019.130005,51.09760284,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0268,BD_SGRED,OPERATIVO,3/23/2021 0:00,3/23/2021CAÑAVERALEJO-EDIFICIO CVC,Calle 6 Oeste bis # 51-02,Sector Los Pomos - Siloe, ,-76557814,3418393,CAÑAVERALEJO-EDIFICIO CVC,PG,DAGMA,8/13/2015,2622330111,1056528,868783,1.2,43,100.8,113,205,315.2,386.6,530
150,151,MM0269,3/23/2021,Carrera 51 # 6A-37 Oeste,Sector Los Pomos - Siloe, ,-76.557657,3.417722,IDEAS,2622330111,MM0269,991.6612549,27.29080963,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0269,BD_SGRED,OPERATIVO,3/23/2021 0:00,3/23/2021CAÑAVERALEJO-EDIFICIO CVC,Carrera 51 # 6A-37 Oeste,Sector Los Pomos - Siloe, ,-76557657,3417722,CAÑAVERALEJO-EDIFICIO CVC,PG,DAGMA,8/13/2015,2622330111,1056528,868783,1.2,43,100.8,113,205,315.2,386.6,530
151,152,MM0272,3/23/2021,K 52 Oeste No. 9 - 17,Brisas de Mayo, ,-76.560529,3.416638,IDEAS,2622330111,MM0272,982.6674805,12.69762897,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0272,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021CAÑAVERALEJO-EDIFICIO CVC,K 52 Oeste No. 9 - 17,Brisas de Mayo, ,-76560529,3416638,CAÑAVERALEJO-EDIFICIO CVC,PG,DAGMA,8/13/2015,2622330111,1056528,868783,1.2,43,100.8,113,205,315.2,386.6,530
152,153,MM0273,3/23/2021,K52 No. 9 - 17,Brisas de Mayo, ,-76.560538,3.416696,IDEAS,2622330111,MM0273,983.1633911,13.13038445,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0273,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021CAÑAVERALEJO-EDIFICIO CVC,K52 No. 9 - 17,Brisas de Mayo, ,-76560538,3416696,CAÑAVERALEJO-EDIFICIO CVC,PG,DAGMA,8/13/2015,2622330111,1056528,868783,1.2,43,100.8,113,205,315.2,386.6,530
153,154,MM0274,3/23/2021,K 52 Oeste No. 9 - 21,Lleras Camargo, ,-76.560358,3.416676,IDEAS,2622330111,MM0274,982.0982666,4.903091908,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0274,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021CAÑAVERALEJO-EDIFICIO CVC,K 52 Oeste No. 9 - 21,Lleras Camargo, ,-76560358,3416676,CAÑAVERALEJO-EDIFICIO CVC,PG,DAGMA,8/13/2015,2622330111,1056528,868783,1.2,43,100.8,113,205,315.2,386.6,530
154,155,MM0275,3/23/2021,C 19 Oeste No 51 D 23,Lleras Camargo - La Panelera, ,-76.563322,3.418546,IDEAS,2622330111,MM0275,1004.18335,21.6445694,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0275,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021CAÑAVERALEJO-EDIFICIO CVC,C 19 Oeste No 51 D 23,Lleras Camargo - La Panelera, ,-76563322,3418546,CAÑAVERALEJO-EDIFICIO CVC,PG,DAGMA,8/13/2015,2622330111,1056528,868783,1.2,43,100.8,113,205,315.2,386.6,530
155,156,MM0276,3/23/2021,C 12 A Oeste No. 52 C 11,Lleras Camargo - La Panelera, ,-76.564239,3.419334,LOS CRISTALES,2622330105,MM0276,1032.367554,38.94662094,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0276,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021LOS CRISTALES,C 12 A Oeste No. 52 C 11,Lleras Camargo - La Panelera, ,-76564239,3419334,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
156,157,MM0277,3/23/2021,C 25 C No. 49 Oeste 17,Arboleda parte baja, ,-76.565484,3.420624,LOS CRISTALES,2622330105,MM0277,1073.799316,21.78953934,12211,Otras superficies artificiales sin construcción,OISC,1,Riesgo alto,Kv,Formacion Volcanica,MM0277,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021LOS CRISTALES,C 25 C No. 49 Oeste 17,Arboleda parte baja, ,-76565484,3420624,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
157,158,MM0278,3/23/2021,C 15 K 53 No. 52B 10,Brisas de Mayo, ,-76.562462,3.4177,IDEAS,2622330111,MM0278,1000.702759,10.08987522,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0278,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021CAÑAVERALEJO-EDIFICIO CVC,C 15 K 53 No. 52B 10,Brisas de Mayo, ,-76562462,831719,CAÑAVERALEJO-EDIFICIO CVC,PG,DAGMA,8/13/2015,2622330111,1056528,868783,1.2,43,100.8,113,205,315.2,386.6,530
158,159,MM0279,3/23/2021,Calle 6 oeste # 40C-24,Siloe - Betania, ,-76.5573,3.4258,LOS CRISTALES,2622330105,MM0279,1109.522949,13.98766136,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0279,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021LOS CRISTALES,Calle 6 oeste # 40C-24,Siloe - Betania, ,-765573,861303,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
159,160,MM0281,3/23/2021,Cra 42 # 71-19,Siloe - La Estrella, ,-76.5578,3.4236,LOS CRISTALES,2622330105,MM0281,1137.671021,49.05119324,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0281,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021LOS CRISTALES,Cra 42 # 71-19,Siloe - La Estrella, ,-765578,853268,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
160,161,MM0282,3/23/2021,Calle 8 oeste # 43-09,Siloe - La Estrella, ,-76.5584,3.4223,LOS CRISTALES,2622330105,MM0282,1136.962646,48.10389709,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0282,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021LOS CRISTALES,Calle 8 oeste # 43-09,Siloe - La Estrella, ,-765584,848519,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
161,162,MM0283,3/23/2021,Cra 42c # 5b-15,Siloe - San Francisco, ,-76.5561,3.425,LOS CRISTALES,2622330105,MM0283,1102.062256,31.51209068,11111,Zonas urbanas continuas,ZUC,3,Riesgo medio,Kv,Formacion Volcanica,MM0283,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021LOS CRISTALES,Cra 42c # 5b-15,Siloe - San Francisco, ,-765561,3425,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
162,163,MM0286,3/23/2021,Cra 40# 5B-45,Siloe - Colonia, ,-76.5565,3.4261,LOS CRISTALES,2622330105,MM0286,1093.687866,56.70278549,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0286,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021LOS CRISTALES,Cra 40# 5B-45,Siloe - Colonia, ,-765565,862399,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
163,164,MM0290,3/23/2021,Calle 6 oeste # 42-40,Siloe - Andes, ,-76.5569,3.4245,LOS CRISTALES,2622330105,MM0290,1111.972778,15.04483128,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0290,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021LOS CRISTALES,Calle 6 oeste # 42-40,Siloe - Andes, ,-765569,856555,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
164,165,MM0292,3/23/2021,Calle 1a oeste # 42-51,Siloe - Nave, ,-76.553445,3.423443,LOS CRISTALES,2622330105,MM0292,990.2617798,12.735116,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0292,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021LOS CRISTALES,Calle 1a oeste # 42-51,Siloe - Nave, ,-76553445,3423443,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
165,166,MM0293,3/23/2021,K 46 Oeste # 20c-02,La Sultanita, ,-76.564,3.4233,LOS CRISTALES,2622330105,MM0293,1115.841187,13.69638252,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0293,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021LOS CRISTALES,K 46 Oeste # 20c-02,La Sultanita, ,-76564,852172,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
166,167,MM0296,3/23/2021,C 18 Oeste # 49b-02,La Sultana, ,-76.5633,3.4226,LOS CRISTALES,2622330105,MM0296,1087.091919,19.2490387,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0296,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021LOS CRISTALES,C 18 Oeste # 49b-02,La Sultana, ,-765633,849615,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
167,168,MM0297,3/23/2021,K 49 Oeste # 23-11,La Arboleda, ,-76.5651,3.422,LOS CRISTALES,2622330105,MM0297,1086.399536,16.06889915,12211,Otras superficies artificiales sin construcción,OISC,1,Riesgo alto,Kv,Formacion Volcanica,MM0297,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021LOS CRISTALES,K 49 Oeste # 23-11,La Arboleda, ,-765651,3422,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
168,169,MM0298,3/23/2021,C 22 Oeste # 49b-25,La Sultana, ,-76.5636,3.4219,LOS CRISTALES,2622330105,MM0298,1082.276611,54.72680283,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0298,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021LOS CRISTALES,C 22 Oeste # 49b-25,La Sultana, ,-765636,847058,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,10,154,193,218,311,583,735,918
169,170,MM0299,3/23/2021,K 83D Oeste Casa 63,Alto N�poles - Tanque 3, ,-76.563731,3.384621,NAPOLES,2622330108,MM0299,1168.460327,34.30477524,11111,Zonas urbanas continuas,ZUC,5,Amenaza alta,TOg,Formacion Guachinte,MM0299,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021NAPOLES,K 83D Oeste Casa 63,Alto N?poles - Tanque 3, ,-76563731,3384621,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,7.6,68,83.5,110,213.5,343.7,452.1,531
170,171,MM0300,3/23/2021,Tanque 3,Alto N�poles - Tanque 3, ,-76.563572,3.384635,NAPOLES,2622330108,MM0300,1161.213745,54.44300842,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,TOg,Formacion Guachinte,MM0300,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021NAPOLES,Tanque 3,Alto N?poles - Tanque 3, ,-76563572,3384635,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,7.6,68,83.5,110,213.5,343.7,452.1,531
171,172,MM0301,3/23/2021,K 83D Oeste Casa 65,Alto N�poles - Tanque 3, ,-76.564178,3.384217,NAPOLES,2622330108,MM0301,1176.374268,56.9627533,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,TOg,Formacion Guachinte,MM0301,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021NAPOLES,K 83D Oeste Casa 65,Alto N?poles - Tanque 3, ,-76564178,3384217,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,7.6,68,83.5,110,213.5,343.7,452.1,531
172,173,MM0302,3/23/2021,K 83D Oeste Casa 68,Alto N�poles - Tanque 3, ,-76.56418,3.384216,NAPOLES,2622330108,MM0302,1176.433594,56.84809875,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,TOg,Formacion Guachinte,MM0302,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021NAPOLES,K 83D Oeste Casa 68,Alto N?poles - Tanque 3, ,-7656418,3384216,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,7.6,68,83.5,110,213.5,343.7,452.1,531
173,174,MM0303,3/23/2021,K 83D Oeste sin #,Alto N�poles - Tanque 3, ,-76.564181,3.384205,NAPOLES,2622330108,MM0303,1176.099365,57.07576752,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,TOg,Formacion Guachinte,MM0303,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021NAPOLES,K 83D Oeste sin #,Alto N?poles - Tanque 3, ,-76564181,3384205,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,7.6,68,83.5,110,213.5,343.7,452.1,531
174,175,MM0305,3/23/2021,C 38 79 - 11 casa 302,Alto N�poles - Sector Tamayo, ,-76.56234,3.385995,NAPOLES,2622330108,MM0305,1112.034912,41.48883438,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,TOg,Formacion Guachinte,MM0305,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021NAPOLES,C 38 79 - 11 casa 302,Alto N?poles - Sector Tamayo, ,-7656234,3385995,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,7.6,68,83.5,110,213.5,343.7,452.1,531
175,176,MM0306,3/23/2021,C 3 Oeste 80B - 22,Alto N�poles - Sal�n Azul, ,-76.561095,3.385445,NAPOLES,2622330108,MM0306,1081.522339,13.61056805,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,TOg,Formacion Guachinte,MM0306,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021NAPOLES,C 3 Oeste 80B - 22,Alto N?poles - Sal?n Azul, ,-76561095,3385445,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,7.6,68,83.5,110,213.5,343.7,452.1,531
176,177,MM0308,3/23/2021,Manzana 5 alfrente de la casa 204,Las Veraneras, ,-76.563156,3.391781,NAPOLES,2622330108,MM0308,1109.965332,42.9440155,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,TOg,Formacion Guachinte,MM0308,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021NAPOLES,Manzana 5 alfrente de la casa 204,Las Veraneras, ,-76563156,3391781,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,7.6,68,83.5,110,213.5,343.7,452.1,531
177,178,MM0309,3/23/2021,K 70 Oeste 4D - 24,Las Veraneras, ,-76.562844,3.394577,NAPOLES,2622330108,MM0309,1036.462402,9.237675667,31112,Bosque mixto denso bajo de tierra firme,BNDBAJ,6,Amenaza media,TOg,Formacion Guachinte,MM0309,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021NAPOLES,K 70 Oeste 4D - 24,Las Veraneras, ,-76562844,3394577,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,7.6,68,83.5,110,213.5,343.7,452.1,531
178,179,MM0310,3/23/2021,Manzana 5 Casa 255,Las Veraneras, ,-76.562252,3.387848,NAPOLES,2622330108,MM0310,1076.783447,23.86061287,11111,Zonas urbanas continuas,ZUC,3,Riesgo medio,TOg,Formacion Guachinte,MM0310,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021NAPOLES,Manzana 5 Casa 255,Las Veraneras, ,-76562252,3387848,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,7.6,68,83.5,110,213.5,343.7,452.1,531
179,180,MM0311,3/23/2021,"Manzana 2, casa 7",Las Veraneras, ,-76.562394,3.387569,NAPOLES,2622330108,MM0311,1088.281738,64.5229187,11111,Zonas urbanas continuas,ZUC,3,Riesgo medio,TOg,Formacion Guachinte,MM0311,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021NAPOLES,"Manzana 2, casa 7",Las Veraneras, ,-76562394,3387569,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,7.6,68,83.5,110,213.5,343.7,452.1,531
180,181,MM0312,3/23/2021,C 4D Oeste 71 - 05,Las Veraneras, ,-76.563193,3.388184,NAPOLES,2622330108,MM0312,1100.818359,18.8816433,11111,Zonas urbanas continuas,ZUC,3,Riesgo medio,TOg,Formacion Guachinte,MM0312,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021NAPOLES,C 4D Oeste 71 - 05,Las Veraneras, ,-76563193,3388184,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,7.6,68,83.5,110,213.5,343.7,452.1,531
181,182,MM0313,3/23/2021,C 4B Oeste 71 - 12,Las Veraneras, ,-76.562944,3.388068,NAPOLES,2622330108,MM0313,1092.714355,33.55766678,11111,Zonas urbanas continuas,ZUC,3,Riesgo medio,TOg,Formacion Guachinte,MM0313,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021NAPOLES,C 4B Oeste 71 - 12,Las Veraneras, ,-76562944,3388068,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,7.6,68,83.5,110,213.5,343.7,452.1,531
182,183,MM0314,3/23/2021,C 4B Oeste 71 - 07,Las Veraneras, ,-76.561839,3.387879,NAPOLES,2622330108,MM0314,1079.963379,43.09729004,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,TOg,Formacion Guachinte,MM0314,BD_SGRED,Operativo,3/23/2021 0:00,3/23/2021NAPOLES,C 4B Oeste 71 - 07,Las Veraneras, ,-76561839,3387879,NAPOLES,PG,Dagma,42014,2622330108,1058136.92,865839834,7.6,68,83.5,110,213.5,343.7,452.1,531
